escola_lista,escola_db,lista_total,lista_ativo,lista_inativo,db_total,db_ativo,db_inativo,diferenca_total,status
STS36693/22 - NÚCLEO EDUCAÇÃO INTEGRAL,NÃO ENCONTRADA,15,15,0,0,0,0,-15,DIFERENÇA
STS36693/22 - SEDUC ALMOXARIFADO MERENDA ESCOLAR,STS36693/22 - SEDUC ALMOXARIFADO MERENDA ESCOLAR,5,2,0,4,1,3,-1,DIFERENÇA
STS36693/22 - SEDUC ALMOXARIFADO SALOM,STS36693/22 - SEDUC ALMOXARIFADO SALOM/ AROLDO ALMOXARIFADO SALOM,2,2,0,1,1,0,-1,DIFERENÇA
STS36693/22 - SEDUC CENTRO DE CAPACITAÇÃO PROFESSOR DARCY RIBEIRO,STS36693/22 - SEDUC CENTRO DE CAPACITAÇÃO PROFESSOR DARCY RIBEIRO,34,34,0,21,21,0,-13,DIFERENÇA
STS36693/22 - SEDUC POLO UAB NÚCLEO SÃO JUDAS,STS36693/22 - SEDUC POLO UAB NÚCLEO SÃO JUDAS,9,4,0,6,3,3,-3,DIFERENÇA
STS36693/22 - SEDUC SANTOS,STS36693/22 - SEDUC,217,217,0,24,23,1,-193,DIFERENÇA
STS36693/22 - SEDUC SEDE,STS36693/22 - SEDUC SEDE,20,18,0,23,17,6,3,DIFERENÇA
STS36693/22 - SEDUC UME ANÍZIO BENTO,STS36693/22 - SEDUC UME ANÍZIO BENTO,5,5,0,1,1,0,-4,DIFERENÇA
STS36693/22 - SEDUC UME AUXILIADORA DA INSTRUÇÃO,STS36693/22 - SEDUC UME AUXILIADORA DA INSTRUÇÃO,31,30,0,30,29,1,-1,DIFERENÇA
STS36693/22 - SEDUC UME AYRTON SENNA DA SILVA,STS36693/22 - SEDUC UME AYRTON SENNA DA SILVA,28,28,0,28,28,0,0,MATCH
STS36693/22 - SEDUC UME BARÃO DO RIO BRANCO,STS36693/22 - SEDUC UME BARÃO DO RIO BRANCO,33,33,0,33,33,0,0,MATCH
STS36693/22 - SEDUC UME CANDINHA RIBEIRO DE MENDONÇA,STS36693/22 - SEDUC UME CANDINHA RIBEIRO DE MENDONÇA,15,15,0,15,15,0,0,MATCH
STS36693/22 - SEDUC UME CIDADE DE SANTOS,STS36693/22 - SEDUC UME CIDADE DE SANTOS,50,45,0,12,10,2,-38,DIFERENÇA
STS36693/22 - SEDUC UME CLAUDIA HELENA DOS SANTOS OLIVEIRA CORREA,STS36693/22 - SEDUC UME CLAUDIA HELENA DOS SANTOS OLIVEIRA CORREA,10,10,0,1,1,0,-9,DIFERENÇA
STS36693/22 - SEDUC UME COLÉGIO SANTISTA,STS36693/22 - SEDUC UME COLÉGIO SANTISTA,100,78,0,97,75,22,-3,DIFERENÇA
STS36693/22 - SEDUC UME DEPUTADO RUBENS LARA,STS36693/22 - SEDUC UME DEPUTADO RUBENS LARA,38,36,0,38,36,2,0,MATCH
STS36693/22 - SEDUC UME DOS ANDRADAS,STS36693/22 - SEDUC UME DOS ANDRADAS,52,51,0,14,13,1,-38,DIFERENÇA
STS36693/22 - SEDUC UME DOS ANDRADAS II,STS36693/22 - SEDUC UME DOS ANDRADAS II,17,0,17,17,0,17,0,MATCH
STS36693/22 - SEDUC UME DOUTOR ALCIDES LOBO VIANA,STS36693/22 - SEDUC UME DOUTOR ALCIDES LOBO VIANA,34,22,0,31,20,11,-3,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR CYRO DE ATHAYDE CARNEIRO,STS36693/22 - SEDUC UME DOUTOR CYRO DE ATHAYDE CARNEIRO,22,21,0,22,21,1,0,MATCH
STS36693/22 - SEDUC UME DOUTOR DEROSSE JOSÉ DE OLIVEIRA,STS36693/22 - SEDUC UME DOUTOR DEROSSE JOSÉ DE OLIVEIRA,18,16,0,16,14,2,-2,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR DINO BUENO,STS36693/22 - SEDUC UME DOUTOR DINO BUENO,22,20,0,9,8,1,-13,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR FERNANDO COSTA,STS36693/22 - SEDUC UME DOUTOR FERNANDO COSTA,29,29,0,7,7,0,-22,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR JOSÉ DA COSTA E SILVA SOBRINHO,STS36693/22 - SEDUC UME DOUTOR JOSÉ DA COSTA E SILVA SOBRINHO,25,25,0,19,19,0,-6,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR LUIZ LOPES,STS36693/22 - SEDUC UME DOUTOR LUIZ LOPES,7,6,0,5,5,0,-2,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR NELSON DE TOLEDO PIZA,STS36693/22 - SEDUC UME DOUTOR NELSON DE TOLEDO PIZA,18,18,0,6,6,0,-12,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR PORCHAT DE ASSIS,STS36693/22 - SEDUC UME DOUTOR PORCHAT DE ASSIS,22,22,0,21,21,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME DOUTOR SAMUEL AUGUSTO LEÃO DE MOURA,STS36693/22 - SEDUC UME DOUTOR SAMUEL AUGUSTO LEÃO DE MOURA,42,39,0,10,9,1,-32,DIFERENÇA
STS36693/22 - SEDUC UME EDMÉA LADEVIG,STS36693/22 - SEDUC UME EDMÉA LADEVIG,35,35,0,26,26,0,-9,DIFERENÇA
STS36693/22 - SEDUC UME ELSA VIRTUOSO,STS36693/22 - SEDUC UME ELSA VIRTUOSO,15,15,0,13,13,0,-2,DIFERENÇA
STS36693/22 - SEDUC UME EUNICE CALDAS,STS36693/22 - SEDUC UME EUNICE CALDAS,28,28,0,23,23,0,-5,DIFERENÇA
STS36693/22 - SEDUC UME FLÁVIO CIPRIANO BARBOSA (NOVO),STS36693/22 - SEDUC UME FLÁVIO CIPRIANO BARBOSA (NOVO),56,38,0,49,35,14,-7,DIFERENÇA
STS36693/22 - SEDUC UME GEMMA REBELLO,STS36693/22 - SEDUC UME GEMMA REBELLO,24,23,0,24,23,1,0,MATCH
STS36693/22 - SEDUC UME GENERAL CLÓVIS BANDEIRA BRASIL,STS36693/22 - SEDUC UME GENERAL CLÓVIS BANDEIRA BRASIL,25,17,0,16,8,8,-9,DIFERENÇA
STS36693/22 - SEDUC UME GOTA DE LEITE,STS36693/22 - SEDUC UME GOTA DE LEITE,20,20,0,17,17,0,-3,DIFERENÇA
